model,epoch,rouge,bleu,bleu_list,exact_match,f1,elapsed_time
seq2seq,1,0.14554304256537506,0.011076650793440881,"0.044306601683631285,1.4850608601226597e-09,4.798542243295399e-12,2.728353903177432e-13",0.0,0.16129032258064516,84.199627161026
seq2seq,2,0.24838242740616462,0.03531073493421514,"0.1412429378530741,1.879115070006616e-09,4.454476332407552e-12,2.1694730918608628e-13",0.0,0.2668462710979136,106.33196783065796
seq2seq,3,0.42367337790533516,0.08119272433603585,"0.2115904549194532,0.11317989983886392,5.414011232008084e-07,1.1847030319810205e-09",0.0,0.46947326820274526,137.35048031806946
seq2seq,4,1.5953373771844561,0.2125342058454864,"0.59192825112097,0.25820747507104325,1.0949302886019025e-06,2.2596437957291145e-09",0.0,1.9221622531826072,198.6774182319641
seq2seq,5,1.0563731105149399,0.026516659036775934,"0.07473143390938675,0.03133507919893348,1.2279557544996995e-07,2.4320806748840417e-10",0.0,1.5073471133745273,512.1822521686554
seq2seq,6,2.530161008271407,0.04255046230825217,"0.09891362660944042,0.042798759632736064,0.018364297061168194,0.01012516592966403",0.0,3.2195250682192893,564.0435090065002
seq2seq,7,4.832764266698058,0.10532210302863858,"0.23328821174504674,0.11036798404473727,0.0522126266287538,0.025419589696016466",0.4032258064516129,5.36792026991925,590.1282207965851
seq2seq,8,4.911368766323237,0.16539070638074901,"0.3984063745019746,0.2057225073896448,0.057428537034583116,5.406596793474237e-06",0.0,5.2419531287460694,681.4936950206757
seq2seq,9,8.667574179107081,0.5952794953525238,"1.1880826174372885,0.6830899192504405,0.3425700676817768,0.16737537704058944",0.0,8.931659715269886,766.92409491539
seq2seq,10,11.80598266144854,0.7451611053495297,"1.5234484695309236,0.8411405998483399,0.41611039765614943,0.19994495436270543",0.4032258064516129,12.38228302086016,862.3913764953613
seq2seq,20,24.30889072128538,2.9637567306482864,"5.165114309906234,3.404992146090736,2.0878296059174413,1.1970908606787323",0.8064516129032258,25.607538748301785,1609.116141796112
seq2seq,30,27.985919626324424,19.968529930947692,"28.568739088111055,21.847103008301495,16.590025651093686,12.86825197628454",0.8064516129032258,29.302132775660215,2387.659491300583
seq2seq,40,28.319620228084485,13.13862603605072,"19.767004885374007,14.424761198558182,10.514324929538645,7.848413130732045",2.0161290322580645,29.403265936706408,3136.8133869171143
seq2seq,50,28.475502960208694,9.769248587904833,"15.01091703056359,10.852057300974675,7.661987714823762,5.552032305257304",1.2096774193548387,29.989385771358517,4093.841015815735
seq2seq,60,29.229148788566317,20.113586793331507,"29.239420870154238,21.834256205409883,16.48813969610839,12.892530401653515",1.2096774193548387,30.582271654616882,4807.342186450958
seq2seq,70,27.94855867890628,19.816998446693724,"28.74535914635059,21.674444437008077,16.275946801896506,12.572243401519708",1.2096774193548387,29.117489963970534,5440.292499065399
seq2seq,80,27.907302122363447,13.37966191656789,"20.20958083831579,14.779610569932744,10.668031950137442,7.861424307885582",1.2096774193548387,29.2268770770623,6094.879690647125
seq2seq,90,27.567130531466578,12.974423705931795,"19.462365591390874,14.270883419890461,10.40808127032689,7.756364542118954",1.2096774193548387,28.735027884582532,6867.123193025589
seq2seq,100,27.796406451344048,13.058603966151281,"19.77339181285827,14.374808640332748,10.401723827289928,7.684491584124177",1.2096774193548387,28.9322276224146,7066.8752698898315
seq2seq,110,27.898032840182292,13.16841863270625,"19.99999999999254,14.48115835726744,10.454428842245532,7.738087331319485",1.2096774193548387,29.168297740197595,7331.356726408005
seq2seq,120,27.470339135296783,12.880935960025742,"19.64418087471474,14.158065731310524,10.183166413032414,7.538330821045289",1.2096774193548387,28.760529558460853,7991.437635183334
seq2seq,130,27.50365748880337,12.97224385686149,"19.70938897167671,14.250654108642582,10.30785013852411,7.621082208602556",1.2096774193548387,28.774307341232692,8718.243933439255
